"","business_id","Group 1","Group 2","Group 3","Group 4","Group 5"
"28","_b-Q0ZVI30FfgPW_UtbLyw",2,1,1,4,6
"29","_BL-KfyZqYruqDvxTY-vUg",20,32,36,35,32
"30","_BrLcaVzE6GqBilwmdQOfg",18,7,12,21,19
"31","_Bz6YWNI5bi0gqQI4GLvqQ",7,8,8,13,6
"32","_CIodPGuvPP2khYkDk1jKw",29,21,32,20,9
"33","_cNzmoWpJfIHlsmlMGJuLw",24,10,4,6,5
"34","_CzopXSIYIp7_oeYNYVwWQ",9,11,4,5,4
"35","_DZfwU9dE9Q5I1-1jiM1vQ",12,19,14,15,15
"36","_Ec1KaH6DpX-1NNE8fA55Q",22,21,38,43,31
"37","_eymim7Di9WjVOxT4OSnjg",10,13,9,24,26
"38","_eZ8OT-nOFmqV3ambm3JRg",0,0,0,1,2
"39","_F2DNPjsqgkAd50zuX8dYQ",43,45,36,35,27
"40","_fcEpudbiTB4o9wLJ-egTA",25,13,20,16,7
"41","_FgyuDnyDCXmWBy03Tq8TQ",7,19,6,9,10
"42","_FXql6eVhbM923RdCi94SA",99,147,146,180,228
"43","_GnpdDmPqtrXkUHZ8YtvwA",11,8,22,23,29
"44","_GOIj0h72Ji2u3vCt1untA",24,19,19,11,17
"45","_GWuXjPNBnO56OaT_daPZQ",59,49,50,47,49
"46","_GWZRML1R9iHNSSo4i2MPA",1,4,4,1,0
"47","_gzo4jScQtavLCHzJo905Q",56,63,67,47,52
"48","_IaAOzGPzq3JIDKuQlAzvQ",4,5,8,5,2
"49","_ibKsVEx2LMobFd52D0NZg",7,8,5,8,3
"50","_iMlWyow-HdId-sFburl8w",10,5,9,6,10
"51","_INaOLXnLK4cvX32CowuKw",18,21,21,27,35
"52","_io-CVnCgHyt0vpTCrP13A",5,11,12,7,7
"53","_j4jCjlnuUnsvq1UnfF1Ag",10,14,17,20,8
"54","_k2-7p9iwZOvtz59119WvA",1,7,9,8,5
"55","_k2nOJvhfNKUFa2i-DnlQQ",3,4,0,1,4
"56","_KvGddVMM3d2f7NEa_eOtA",53,44,30,25,19
"57","_L9E4eZWX0vdePNjU1xtuQ",7,8,15,17,23
"58","_leflhF7uTuhDeGqXY6Kuw",5,5,5,2,8
"59","_LjNO1X-jFr_HWSfnkTP_Q",9,18,16,23,27
"60","_LYz2vdGyXsV-8b-_T47ag",28,46,45,53,31
"61","_m1jiGnFykgtWB07JkOttA",6,3,2,2,9
"62","_mEG7lN5dmuEg4tnpUyALw",3,3,1,2,2
"63","_MkEsZayoYMMOXE_qCJYgA",20,10,23,20,31
"64","_mt0EQgGCG-qrLy51RnQag",18,12,12,9,11
"65","_Ne4sL68IW6lEXYvrnkt-w",52,36,36,49,31
"66","_nJ1w00q6dWlub82Qt0BcA",3,1,1,0,0
"67","_Nxn5EnIvuz48O1x-nsRfw",1,7,5,7,10
"68","_oBxfuBd2qDEWaYsdvP_dg",28,32,25,22,26
"69","_ODHYjCmrb3W9hIGJI1uaA",31,38,23,22,20
"70","_OXr_eA576nwnU-dFsEfvA",16,19,15,15,24
"71","_OYlq2UoKPQO_ElqhC3a8w",32,26,30,35,34
"72","_OyxUcWkSTRvRKFyEE7zbA",1,3,2,2,1
"73","_PFMtwWXDmdCmgfGWq2b9A",12,10,16,12,20
"74","_PINIylE-HAtznOkeQ6OOw",43,54,43,53,41
"75","_PuhheIPgmDCBJe1nhpKTg",7,12,7,13,20
"76","_Q4VSHSr8ryAOfmsd9g6yA",45,59,41,34,32
"77","_qBtLcyWEI6S-a9Jx1582Q",16,10,12,8,16
"78","_ql42UadWUh9SgU09_c2mQ",14,11,15,16,13
"79","_qr-o4j4a_9OMIWhmaZqVA",8,5,4,4,7
"80","_rGLtqmX-IAHTM3JUgXmWg",0,0,2,7,6
"81","_SdixbXjvpCIMln7_sgDfg",7,5,4,6,3
"82","_SWb6l-M_ohosfSmet3e1w",54,27,18,10,9
"83","_TgZG9bwEsJNcFmrMYIl5A",9,6,7,3,6
"84","_tS0YfyPDxOXxrN4Kl2_HQ",80,88,93,100,91
"85","_tULIKll0EQsIAnPnxaoLg",8,8,7,4,0
"86","_tWPlLKRenyHPvkxqZ2UQQ",1,14,18,16,20
"87","_TWT58PWunYIyPgpz1fuog",13,13,7,12,13
"88","_UOaoy1lcdIbgaA-d9dqpg",16,11,10,8,8
"89","_uORj7gXai7YEpC9fY4xDw",7,4,1,1,3
"90","_UrbZpgCq638dWrS0Vly2A",17,14,13,19,14
"91","_UsqOvmgoNzb_0xWpzwZBg",63,47,54,58,71
"92","_uUlWKhPmjFUUxOSS-EP_w",3,2,1,1,0
"93","_viHcOY9w_CitP4oHpZYdg",32,25,33,39,57
"94","_VN5hYv1VgNIBgwxTQZ_1Q",206,141,102,72,47
"95","_VpP18kVhdR9petT8w-cuA",1,5,1,1,1
"96","_vXXcs_ej_u3sS-YY1CKMg",3,10,7,13,8
"97","_W5QrZQPfqjj6njeqrGYEA",12,13,19,8,10
"98","_WaHLgLzALd2iThQAhC-sQ",37,31,29,29,43
"99","_WbZri6b9Wq4iofDm7CI9Q",30,43,39,51,47
"100","_wC3d_dqWIk_LJg4pgdEiw",7,3,5,5,3
"101","_WHc6Iwi40s2gcvkotEoOQ",4,7,7,5,6
"102","_wrA7CMbMqcWEDCNghi5cg",24,19,23,9,7
"103","_xeigHhwNOB6N1if3lQO3w",7,7,6,7,3
"104","_YCwkkdiW5KliTK8g8Tlew",64,57,64,77,58
"105","_YswYrpv6YdO3R3CP8R8oQ",18,25,18,15,16
"106","_yW2zLQAmqhj2m7rBbpFPw",14,6,2,6,6
"107","_z9UrC5hCTBK1JIgQD0YDw",12,9,7,10,4
"108","_zrSQdISpB_qry9tb098rw",97,99,120,112,87
"109","_ZyJLAlkmqefU0WXQ2o6jQ",36,33,42,46,36
"110","-_UANm0_Ik2_PJwrcPhHIw",2,8,6,6,4
"111","--5jkZ3-nUPZxUvtcbr8Uw",6,9,21,19,35
"112","--BlvDO_RG2yElKu9XA1_g",21,15,14,25,19
"113","--pOlFxITWnhzc7SHSIP0A",21,19,37,37,42
"114","--UE_y6auTgq3FXlvUMkbw",37,25,20,18,12
"115","--Y_2lDOtVDioX5bwF6GIw",8,12,4,7,10
"116","-0GkcDiIgVm0XzDZC8RFOg",23,24,20,28,14
"117","-1bOb2izeJBZjHC7NWxiPA",8,21,24,31,23
"118","-1ERbsOf9XOC9wGbZYFr7g",38,23,32,34,36
"119","-23t2qOQWj8Kqp-Ijm1BQA",9,7,8,5,5
"120","-27u-98Ugczq_xsNPdcvEg",4,1,3,3,0
"121","-2n-OHbbwIv3SY8RP9bgTQ",104,160,172,164,165
"122","-36CwMJZJigqPMYrx9BJzw",40,32,24,21,10
"123","-3WVw1TNQbPBzaKCaQQ1AQ",44,65,64,69,50
"124","-4A5xmN21zi_TXnUESauUQ",102,141,117,107,96
"125","-4bNlx03GsXzgkHZwTrMaw",24,11,18,11,13
"126","-4RFDwrW_OI39zA55FqDpw",8,9,8,9,8
"127","-4XBX2pNLrGmRK-7YoXtsg",11,13,19,10,13
"128","-584fn2GxYe9sLsgN2WeQA",26,43,37,50,85
"129","-5As9GrKDboz5N5eA2HRuA",2,2,0,1,2
"130","-5rFC4EVrT-v8g1PSEf6Xg",11,10,22,16,24
"131","-5RN56jH78MV2oquLV_G8g",73,117,84,117,143
"132","-6j-KVPPX2xKjCruNO2HnQ",21,16,22,24,13
"133","-6n29ZcBHteJ9eEexoRQ7g",29,29,29,28,40
"134","-6ozQS5Mc6xDyGFNLNh7ZA",5,16,10,15,19
"135","-6Roo-EHgSdUa4rP3tWyRw",33,21,23,19,15
"136","-7PWVPeSkUulZV0KrGysUQ",3,2,0,4,3
"137","-7smFzvh2E2fOOYs-0Dl8w",6,7,11,4,8
"138","-87qtIfyeyYR_YU3mPl1pA",8,6,5,7,5
"139","-8vrk9UzM2oIey95PZOHuA",9,3,0,0,1
"140","-9BeUZZ1Jph1pD5qpax21g",7,3,5,5,4
"141","-a22bjfNCVL0gvKpd6RakA",24,39,39,25,17
"142","-AAig9FG0s8gYE4f8GfowQ",79,67,91,78,80
"143","-B3bkPTP8jyAs266Dk7VvA",13,9,16,3,11
"144","-b9ZUSmcsGxutDSW1DIbdA",56,48,67,45,47
"145","-CIZh4JOZuOEbSzLVrAIGw",2,2,2,3,5
"146","-cOzkNEQIdF1g_4o4M-uGw",3,2,0,2,2
"147","-cy8EpdXs44iT3FR4En0QA",9,6,11,8,17
"148","-E6XYf1ce1NCtV3QQI-3xA",17,14,15,13,18
"149","-EctXOb3B7T177jGYUhjVA",59,52,59,59,64
"150","-eEZHb5r8ZIzFfZAtekg1Q",8,8,8,4,4
"151","-eGTRXRUBYnypv8Jk08nKA",5,1,5,9,7
"152","-eZUYixS68S8Tn2Z2mT6eA",2,2,2,4,4
"153","-f5EhKQb7jPtDl1eYDwV0w",8,3,3,0,2
"154","-ffo-JFhFj2kR6kZL4qYhg",33,39,29,34,35
"155","-ftQeUsqwDkExRg6IYrubQ",19,31,38,47,48
"156","-gefwOTDqW9HWGDvWBPSMQ",53,35,53,37,32
"157","-GF267VCCEZ7es8pnKxRoA",8,2,1,1,0
"158","-GPiLRLH0MWH6Pjs0WDglg",15,8,10,9,3
"159","-GYx5GAx_-4XEsn7mFwdkA",20,14,11,9,3
"160","-GZsHVDlI6wvLsgD1Yaj0g",44,43,65,63,56
"161","-h-q6zTIdPlkz9BDP11sBg",37,57,67,85,112
"162","-hQ8iZygzi0iiTFUkHgiEA",22,19,26,25,10
"163","-hv-qqymMDYlpszOzJ2RXw",16,9,15,7,7
"164","-hWBlyI2k95yjU-cgwCKJg",7,23,34,25,20
"165","-iR3xWy3JK_JEhnGWQj9zg",6,10,9,8,5
"166","-iVcmhjfq79QoTWzrb6pKg",9,11,14,20,9
"167","-j7Vu1kzobTtDTlOyL1BAw",11,4,9,10,10
"168","-jbHH3mB9SsSDb8nOGvMSw",7,15,6,10,28
"169","-jBymA8tI-WURtSBcuUdXQ",9,6,7,5,2
"170","-jILD3f2BRwZqv3qMKhpew",11,13,15,8,11
"171","-JL0CWSLkkzFHZXlctnf8A",13,20,20,24,32
"172","-JpZiiGPKOuCEiODGNyovw",8,6,4,4,3
"173","-K22CWorrReIV_kgLa6dmQ",63,42,37,37,34
"174","-k5md4Iuh3_ZuA_Z6VdZeA",3,4,5,3,3
"175","-KQ283hJkBO12u8XOrlCcQ",21,19,25,12,4
"176","-KSjEAnm5w8TBdRVLVwi9Q",18,36,23,22,18
"177","-KZA7UoULw_pM3jBBUzb8A",10,3,11,2,5
"178","-LHHCgIUZy49sUU4j03T2w",45,55,40,42,35
"179","-lOSaCuBRAvX5JBifx-EMw",27,34,27,15,11
"180","-M64wmNpuKLB0jCWx0pj7Q",4,1,0,0,1
"181","-MaIpPCz4153Uh1pnzI3AA",4,5,4,7,6
"182","-MFnc3jvLEduvqkOlaylHQ",3,4,1,0,2
"183","-MgFDby-okrbKLBc-SYWdw",31,37,38,48,36
"184","-Mh44q324VW8mpxIdH_HPw",26,33,46,42,51
"185","-mLcpJYfX8tw8LR9bq018w",21,16,5,11,7
"186","-mOOxacLlVpWOmIq9lvJHw",15,14,8,8,5
"187","-n0bDmgCCcculSyHjuTd6A",3,3,3,1,2
"188","-n8BELX8Xd0rCRCGYd05xg",1,3,7,8,4
"189","-nbFa-dumLw0v7J2H9L03g",2,6,5,7,4
"190","-Nd5eId2iqnFvAMNgRBgpA",19,31,22,36,45
"191","-nHYKkSJuQ7zzFZ1veRfPg",8,17,3,6,12
"192","-NOet8xJLGhX-eUzSIDc2Q",9,17,8,15,16
"193","-O7H5LhBkE13VQZB0QZI0Q",47,18,23,12,16
"194","-odkpokd88CBC5yKwe5RBw",7,17,4,8,4
"195","-OfCPTArVfsJy2NrH9J3tA",3,9,4,22,29
"196","-Ogv7rpcgUHkFaSy3vD8Sw",20,29,23,25,29
"197","-p-9eBYvts8tcalo5IWOKw",19,18,11,10,17
"198","-PESvVv3rPQFAU1_cZ8_hw",27,14,10,16,7
"199","-pmmu39MjTD0ht6Jjf-gmw",4,2,6,11,12
"200","-PyniZNMQuB5u99nr6dYVw",15,11,13,15,24
"201","-QMaaz6TS5DGuxyMg8kxQg",4,7,1,1,2
"202","-qsNR9gEq09KFor_OxpNsQ",20,11,25,18,23
"203","-r_4cKz_A8tj_SkiOL50yQ",9,14,26,39,34
"204","-Rj4yXguyZ06ZMPMmoR9tg",12,17,11,16,12
"205","-RV4TvjpDTZDH3k3FdBXcw",11,9,5,7,5
"206","-s-OW4Kr9YY3SBmRdpgFdQ",5,5,0,3,4
"207","-S7aL8dVIiXjCdbTZVn8uA",5,3,5,3,3
"208","-s9Vc4QS91I4DUfR9V4VgA",4,1,3,2,3
"209","-SNpLwJNup8N96yq7sBJyw",91,116,108,88,76
"210","-szHsdbd5-J0by2d62T3Hg",2,0,1,2,0
"211","-TNwWa_OGPmZoBFl25zdYA",5,7,4,5,13
"212","-tsCj7HZ1TT548bcz8U3ZQ",36,29,38,30,31
"213","-TulfYOMTsrqVVvjJRk4Fg",4,5,10,4,2
"214","-u0m2QhmIUYJU22psWo46Q",20,12,15,18,15
"215","-UHDEY88hqUtrTPWfQ5CgQ",9,8,2,1,1
"216","-UIzHV-kFbb0YqA-jbfIDQ",5,5,5,4,5
"217","-ULJMKOp7_4h63Ry1VSKAg",12,11,8,3,6
"218","-UqxkoufE3WGTnLZV9em3w",15,10,17,18,14
"219","-v31BEquLxeVPgvFHburUQ",1,3,2,2,0
"220","-v5_76SRmuhFPC283NIAJA",1,2,2,2,4
"221","-v8FrfMccLpIzong9XpiuQ",7,2,1,0,1
"222","-vHWAsiX0iHWJw-pkqv32Q",52,45,29,41,34
"223","-vpPykvF02gMi-uyGAApsQ",6,12,9,14,15
"224","-VVLldg7X2mzTXELTakMfA",15,13,16,6,4
"225","-vVQyTVHitF6TOHGijVXxQ",108,114,99,61,61
"226","-w0g2HkH2Ncxbs_QDtsf-A",34,28,19,11,14
"227","-wCSqZ_VFDm7M5A2-quWFA",3,6,4,4,2
"228","-WXH-j7_Ugm6phJDdY5bzw",16,8,3,3,2
"229","-WZ3MCw4wOOnEJyHXw0kAg",34,28,19,28,20
"230","-WZIxGXJHMGidZXRhKxP3w",24,18,18,13,11
"231","-X4wXA4iZF3Bl133i7FNYQ",0,3,1,0,0
"232","-XQAYmeTFv4MR-M5XAZmWw",22,22,31,38,38
"233","-Y2rZMPttQqKXD_XJPQerA",1,6,3,8,2
"234","-YgM1XtGcStBpPT_ooNmdw",1,3,0,1,0
"235","-ypSXxstO11bNUl2Lhf5KQ",5,5,6,3,1
"236","-yTdxWCadi8Kn1H05getKQ",13,16,13,10,13
"237","-yxfBYGB6SEqszmxJxd97A",29,33,31,33,34
"238","-yzl8Zm-MmSqx31VN7vB0Q",33,34,26,20,21
"239","-ZTR_3FFPdFCV9l_Fq_OUA",18,8,7,8,4
"240","0_vMnSRqc5aZUg1eBk3l2g",20,14,10,7,7
"241","0-407ZN5bpARlNh9FOHh6Q",11,8,9,4,5
"242","00xD3o61AjrGOpEHiGPEwg",2,8,3,3,1
"243","01euuGhBwvcDhl9KcPTang",1,2,4,1,2
"244","01hHIKQBwJL-GcjpGuBrLA",3,10,8,9,2
"245","02sOq3KVhvbOzFFmkC4Qtw",12,11,12,15,13
"246","03yij332OZ6UNqajNgZsGA",9,9,9,4,0
"247","05FJCAvUFOAk8B_nIOqt7A",20,13,9,9,8
"248","05FkTuKNfebc8BafSAq1Lw",0,0,2,1,2
"249","05fTEsjUPVo5jks8PpNKCQ",266,293,278,249,266
"250","05tazaFQt1EnQ_Gk_1AFyg",103,126,130,130,152
"251","06kfoeRs9Acj82Yl3i9p_w",18,16,22,23,30
"252","07kcENxFQxwVWYiZ5fqlOg",13,8,4,4,6
"253","08IFR_ruWR96K3Q6sakI_g",30,31,25,28,36
"254","08ke0Orbu5x3mYZPgMadaw",17,10,11,8,10
"255","08UPumc2Tr3trW8J5SCrow",1,5,1,3,2
"256","098lYL3ZpOayRvk7MbwyLg",14,11,17,14,10
"257","09r7xwM1OTEM2hnAM8WPFA",11,5,8,12,6
"258","0a4lX5VhCXJOwe-idxnVbw",9,19,23,30,16
"259","0ANCSsUU-kJijIe335ITpw",5,8,8,9,24
"260","0AOXM-nZqXro6LAT4EKqpw",13,20,32,29,39
"261","0aV8mzabKSFylfi0NQGqlQ",43,44,44,29,24
"262","0ayh3LxJwSbJEOlBCx9APA",43,35,49,61,49
"263","0AzoCP_nz0hv0-BpXLxq_A",24,16,16,12,8
"264","0b0gDhZsKOB9trxVLA-jtw",24,26,32,35,46
"265","0bIAt8OIgdBh-cl5t0E3pg",7,5,2,6,4
"266","0BpMvu5B9fY-KEbOuxLtFQ",20,24,27,20,23
"267","0bQiWdKxj2EmsGYRVC9qyA",8,16,18,9,17
"268","0bQKW7e23wTJxgvs_p2HjQ",7,11,11,12,11
"269","0CeEgarUoVP2Nq9s1Mn0Aw",40,12,15,13,13
"270","0CG3ns3gwWV5nOnfzSfUIQ",37,39,36,42,55
"271","0db71MbrvcJnyk71COCJBg",92,47,49,34,23
"272","0dIChGWBs9ueUXl0hhkw2w",31,26,27,37,12
"273","0dORc6ckZw5HezR3BuSsqw",81,89,76,75,62
"274","0dU-oiiYkWGT_Jwo18_Z7g",13,15,7,6,2
"275","0EXVIF07vw-QTTy9V7-ebg",17,7,10,24,20
"276","0f9yhyfnyWB9hF85PNmcLQ",11,8,14,12,13
"277","0FgwBx7pgmNdUtsd_T8UYQ",11,12,15,9,10
"278","0FmWly56nUTg60-b5k0gTQ",28,29,37,33,13
"279","0FQ8Kj6ZITbN8lrlIZOugA",2,6,5,8,8
"280","0g_KFvnPIkA8ywTXPPeRCg",21,14,13,13,5
"281","0GCpesRgXSVluFoB2otXlA",5,12,12,11,15
"282","0gQrhOYWdO0XVZEKtOrvaA",22,18,22,9,19
"283","0gsYv0BRBxd5wDYDsB9wDw",25,19,15,20,7
"284","0H7ewZ656xM0bulSMowWtQ",13,13,19,16,27
"285","0H8Xo8XtA6GkSI2hAF0LKw",11,7,9,16,3
"286","0hej0FRXraL5BNUKWhY_8w",3,6,0,2,4
"287","0hYTkJtgQGu-ysCZnmFZDQ",9,7,10,11,11
"288","0hZLn2MG_mRPoyrt66JnLQ",10,13,9,9,12
"289","0IDIy6Ti9V4rKhX-WgWFHg",11,13,10,14,10
"290","0idZ5QJ_divjmPyDzqktZA",19,27,28,26,30
"291","0IJWOuv6BT3HYo2V-SttcA",7,8,6,2,5
"292","0IKwgLg_UApkFzMCAaJ1Lw",12,16,16,10,8
"293","0Ir2L-nWFFQP3jB7fnWTuw",16,12,13,10,6
"294","0j2UisBk89SHqihr0IdlJw",9,6,6,4,1
"295","0JBktMcQgwxObtrwjILJuQ",6,1,1,0,1
"296","0JhjsUzRz98dhAUr5o2DCw",35,17,15,10,10
"297","0jkZZRywo3wlmZcuCFbSEg",10,6,8,4,3
"298","0jq5ZFLRqAAujEuymdPu4g",29,42,56,39,48
"299","0jrqXBr8UJjlG23yJevGbg",0,1,1,0,2
"300","0JUcQpKWku8D86TVY6cTgA",7,19,17,19,24
"301","0K35eGvzVRZEirNo5v_WfA",19,14,20,19,21
"302","0K634ehk41ZRc4kj3NTAEQ",89,89,73,74,53
"303","0K8roYiVL3c5koa5pDEBUw",27,36,38,27,33
"304","0KNRmt72IWxI1JLpfpLwSA",26,33,30,20,18
"305","0kRBRm5xOWclzemsLl9iQA",15,17,11,13,6
"306","0lEp4vISRmOXa8Xz2pWhbw",40,45,48,38,38
"307","0lQDOFqEVB1LQhkS2kN1RA",17,10,3,14,11
"308","0lWQSXID3T7K3DbjX7CpqQ",3,8,4,8,14
"309","0LzYw7uhfIbk2_lKq08Jcg",13,3,10,5,4
"310","0m0KmAYGvC34MfwJIEgCEA",15,5,12,12,17
"311","0mPrp8m_caTxdSGfIxNtTw",37,50,59,54,69
"312","0nCS2KIWbqV4p5UZ8zZ6TA",2,0,1,3,2
"313","0NeXPGy3_N9T4IeHde7iGQ",10,11,12,8,15
"314","0ng1b8buaqJ7deuiDxMWFg",19,31,47,41,52
"315","0nGjXTpUtpIJl10PL0eBGg",42,51,45,47,44
"316","0NhcabzEyeCIMsNCPOX-MQ",8,11,7,11,6
"317","0NHoELbgXkqIoG8lWo0AtQ",63,61,40,43,36
"318","0NNw9CHm0X8LJBvmIJvBIA",10,7,9,13,14
"319","0OjN8M62r8cJhSF1mGfsdg",4,2,0,0,1
"320","0ONypOKIhttBz9IJzBE8jg",26,32,32,37,48
"321","0ORPehdGZci1Z_BTKe_5VA",7,11,5,2,2
"322","0oz45sNYYP2LKKBjNTD2yA",7,6,2,3,3
"323","0p-JqQ3DOXC90ad563C1FQ",16,9,17,16,10
"324","0pGLXuFpUNTgArmOgbBpwg",5,2,3,1,0
"325","0pQhnZ5CV60lSKTQg2GKng",3,8,5,12,10
"326","0q98gY5I_5Ad_zLowCDkGA",20,19,18,18,12
"327","0QI1fVQ3dYUws2DZhBGDpQ",2,2,6,1,1
"328","0QkkNagJaWllynycTF-fRQ",46,39,19,26,20
"329","0QtGVVXoDnKJxPA0v2yckA",6,7,2,2,4
"330","0QTn4pMzKv1mnQifcP9YoQ",34,24,22,33,18
"331","0qUesn1TBPpPjW20h5Lqfg",9,22,28,29,40
"332","0QUjIl8sGZsA0L1JCqVAgA",36,19,27,28,31
"333","0rBgNB2FKdIEKgNtiRa6Xw",11,10,5,6,4
"334","0rbT0Nf-A56t4DnYIIvy-Q",21,26,28,27,27
"335","0rj2xW1YKAbfHxe804Fefw",9,6,6,6,9
"336","0RqNRc6RiILzZxK9J8Kqug",33,23,15,15,10
"337","0SepDX0DR46sCdxkCI5Txg",0,0,2,4,2
"338","0sGhloiZf62hF_OTaahS1A",1,2,3,2,2
"339","0sNQHGJCb6ckMW3P_J3oXA",20,26,16,27,19
"340","0SQmfh7ppX3HnYx9SxmReA",8,5,0,3,4
"341","0sXYr-llEjeeyHH9dwDpjg",9,6,10,3,10
"342","0tqrgESNOpN2CNoEtCGYpQ",31,19,17,15,11
"343","0uq7x1_pxU1hajaIDhv3MQ",7,10,10,9,7
"344","0Vczk_zvQgsUGTrnBzfIZg",2,11,8,8,9
"345","0vjPlHp1eZPOyb-bcjp-9g",6,5,2,3,9
"346","0VyvlA1mZsDoYd3kkRjevA",18,12,5,12,7
"347","0vzZ_Bcb02rJljeMU9XkBw",47,46,46,68,50
"348","0w5esOmdWtoknKhJjqbEwg",3,1,2,0,2
"349","0WBsN95ItG6IyiB1X2lMrA",15,22,20,19,12
"350","0wGWhZw81cIG7YjwghZhgw",22,29,27,19,18
"351","0WI0ydH2HtFxFswYXhE--w",21,30,35,34,31
"352","0wkFwbx-6gWusPuDkqgR7A",16,6,15,6,5
"353","0x4NXJFSQRRUNONxINTjWQ",56,60,47,47,23
"354","0xSf8B4DBEk8ecV7YYXVUw",50,62,50,49,39
"355","0xWF7PpTNl-awqg2YGxxFQ",9,12,7,1,5
"356","0YEbfeYZXkcTwjos9cgaEA",3,5,3,4,6
"357","0YEYPidJcDh-Hgjwaisi5Q",24,25,15,30,33
"358","0ylC0tsPUY3yaoXRaCDL3Q",18,16,18,17,13
"359","0yX5ddNYV864ioYN2UujJw",2,0,3,1,4
"360","0Z1hji18LaNW3Me21oC96g",28,23,17,10,13
"361","0zaZp4Kqar6P4iG0ZfuftQ",1,4,4,7,1
"362","0Zec6RiFV6h6TbOFb7xu3A",25,21,16,33,18
"363","0zHHvaVxvR5BpFXECvNNFQ",4,4,4,7,8
"364","1_FS3rvpvgGEzr_SncSVpQ",16,11,11,12,9
"365","1_JEa6MI0xl_wlY4gqMHqw",8,15,14,14,20
"366","1_siFXaQbxck3tiKRwnq7Q",23,30,36,36,48
"367","1_tzgIokeCFWkeLpPzMFqw",34,53,31,48,20
"368","1-1VcGTL3GyCqUpXZLFTZA",28,22,15,15,12
"369","10GBdcrKBSL1QFnkXWjfjQ",12,12,10,9,9
"370","10RoUv7N_K3amPyJ3Ao2YQ",33,27,8,16,18
"371","10UcN8MF1kQiyTJAfHKvfQ",1,0,0,2,0
"372","11_Py0PMSwvnok8K9I3AgA",28,31,32,36,31
"373","14gY1iJ-KRnERxHj4ONasA",16,16,12,17,12
"374","14JrDlEb7SMK_ZHrS80lFA",20,21,29,21,13
"375","14K90G-hbfk795NY7cKxMA",31,34,38,49,48
"376","14NSxaXBNspIVnsrMYJZVw",42,40,27,22,27
"377","15srJBiBZBt0iKsWSABwRg",46,51,50,35,42
"378","1621ir5mjVgbHwxCbMAEjg",23,19,19,17,21
"379","16vBOBiEkjuJV88nVK4Tvw",2,5,1,3,1
"380","17DI33J8TkcfzyoiIYLQIw",23,31,25,28,31
"381","18922Xj4KzD0ChYRMmWldA",11,9,6,9,5
"382","18FygiATTjYHyLz8A5Prcw",5,0,2,0,0
"383","18oecrR4bf-ctLvVGEaSLg",12,14,9,8,11
"384","18TUn9oiW0k0yB6lheiOvw",67,77,67,59,59
"385","1A_4WE4hdpdU3pG6PWUOVw",9,6,14,6,12
"386","1a1WNQw-0lwjl2FBapFbHA",1,0,1,1,1
"387","1ahZv3c-sVaTxjKn5dePmg",21,14,8,7,11
"388","1bJjWGYip-V2PGj4VIwbiQ",100,108,123,113,127
"389","1CNKe3H07sLu6rigOpAYsg",38,40,43,32,28
"390","1d5XAAH39FKenV3_9gcFIw",17,5,3,1,0
"391","1dAA6vT55o35XZT3DV4hSA",19,12,12,6,9
"392","1dk07edqr5_7goS6AnXAjw",15,20,16,15,27
"393","1Duul3qCnLrNak1Np-iHfw",58,66,59,44,52
"394","1e3C5v3vz40fOwfx3wVmGQ",6,10,12,11,7
"395","1E53rS8afK2jiLod8Jwy7A",11,5,1,1,1
